qid,topic,common_trap,how_to_avoid
1,Hip,Confusing anterior hip dislocation with posterior dislocation.,"Anterior hip dislocation = abducted, externally rotated limb."
2,Fracture/Trauma,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
3,Peripheral Nerves,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
4,Ankle/Foot,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
5,Wrist/Hand,Missing occult scaphoid injury when initial x-ray is normal.,Treat snuffbox tenderness after FOOSH as scaphoid fracture until proven otherwise.
6,Knee,Underestimating obesity as a major OA risk factor.,"For OA prevention and progression, weight loss is the most effective modifiable intervention."
7,Ankle/Foot,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
8,Knee,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
9,Arthritis,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
10,Spine/Back,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
11,Bone Tumors/Metabolic,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
12,Elbow,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
13,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
14,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
15,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
16,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
17,Knee,Confusing gout with septic arthritis or RA.,Acute monoarthritis with crystal story and recurrent flares favors gout.
18,Knee,Confusing meniscal tears with collateral or cruciate ligament injuries.,Mechanical locking/catching plus joint-line tenderness points to meniscus.
19,Wrist/Hand,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
20,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
21,Wrist/Hand,Underestimating obesity as a major OA risk factor.,"For OA prevention and progression, weight loss is the most effective modifiable intervention."
22,Musculoskeletal,Underestimating obesity as a major OA risk factor.,"For OA prevention and progression, weight loss is the most effective modifiable intervention."
23,Knee,Confusing meniscal tears with collateral or cruciate ligament injuries.,Mechanical locking/catching plus joint-line tenderness points to meniscus.
24,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
25,Bone Tumors/Metabolic,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
26,Knee,Confusing meniscal tears with collateral or cruciate ligament injuries.,Mechanical locking/catching plus joint-line tenderness points to meniscus.
27,Hip,Underestimating obesity as a major OA risk factor.,"For OA prevention and progression, weight loss is the most effective modifiable intervention."
28,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
29,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
30,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
31,Arthritis,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
32,Bone Tumors/Metabolic,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
33,Spine/Back,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
34,Knee,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
35,Knee,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
36,Bone Tumors/Metabolic,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
37,Peripheral Nerves,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
38,Spine/Back,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
39,Bone Tumors/Metabolic,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
40,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
41,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
42,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
43,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
44,Muscle/Histology,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
45,Arthritis,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
46,Wrist/Hand,Missing occult scaphoid injury when initial x-ray is normal.,Treat snuffbox tenderness after FOOSH as scaphoid fracture until proven otherwise.
47,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
48,Wrist/Hand,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
49,Knee,Confusing gout with septic arthritis or RA.,Acute monoarthritis with crystal story and recurrent flares favors gout.
50,Hip,Underestimating obesity as a major OA risk factor.,"For OA prevention and progression, weight loss is the most effective modifiable intervention."
51,Hip,Confusing posterior hip dislocation with anterior dislocation or proximal femur fracture.,"Posterior hip dislocation = shortened, internally rotated leg after dashboard-type trauma."
52,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
53,Wrist/Hand,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
54,Knee,Confusing meniscal tears with collateral or cruciate ligament injuries.,Mechanical locking/catching plus joint-line tenderness points to meniscus.
55,Wrist/Hand,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
56,Arthritis,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
57,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
58,Bone Tumors/Metabolic,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
59,Hip,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
60,Wrist/Hand,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
61,Shoulder,Confusing gout with septic arthritis or RA.,Acute monoarthritis with crystal story and recurrent flares favors gout.
62,Wrist/Hand,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
63,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
64,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
65,Knee,Confusing meniscal tears with collateral or cruciate ligament injuries.,Mechanical locking/catching plus joint-line tenderness points to meniscus.
66,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
67,Knee,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
68,Abdominal Wall/Hernia,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
69,Wrist/Hand,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
70,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
71,Hip,Underestimating obesity as a major OA risk factor.,"For OA prevention and progression, weight loss is the most effective modifiable intervention."
72,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
73,Wrist/Hand,Missing occult scaphoid injury when initial x-ray is normal.,Treat snuffbox tenderness after FOOSH as scaphoid fracture until proven otherwise.
74,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
75,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
76,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
77,Muscle/Histology,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
78,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
79,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
80,Shoulder,"Differentiate using mechanism, localization, and hallmark exam clue.","Read the limb position, pain location, age, and provoking maneuver before choosing."
81,Wrist/Hand,Underestimating obesity as a major OA risk factor.,"For OA prevention and progression, weight loss is the most effective modifiable intervention."
