qid,original_id,topic,trap_type,answer_letter,answer_text
1,1.1,General,pattern_recognition,A,Aqueductal stenosis
2,2.1,General,pattern_recognition,C,Atrophy of the substantia nigra Anatomy Neurology (Neurodegenerative disorders and dementias) None Subject System Topic
3,3.1,General,pattern_recognition,E,"T1 Wrong answer explanations: Choice A: C5 innervates the deltoid and biceps, with sensory distribution over the lateral upper arm. C5 radiculopathy causes weakness in shoulder abduction and elbow flexion, not the triceps or wrist extensors. The sensory loss would be proximal, not extending to the hand. Choice B: C6 affects the biceps, brachioradialis, and wrist extensors, and provides sensation to the lateral forearm and thumb/index fingers. C6 involvement may include reduced biceps or brachioradialis reflexes and lateral hand paresthesias, but it spares the middle finger and triceps. Choice D: C8 controls finger flexors and intrinsic hand muscles, with sensory distribution over the medial forearm and fourth/fifth digits. Weakness would be seen in grip strength and finger flexion, not wrist extension or triceps strength. This patient's distribution does not match C8. Choice E: T1 innervates the intrinsic hand muscles, including those responsible for finger abduction and fine motor control. T1 radiculopathy causes sensory loss over the medial arm and may cause difficulty with hand coordination, but not triceps weakness or middle finger numbness. Bottom line: C7 radiculopathy presents with triceps weakness, diminished triceps reflex, wrist extensor weakness, and numbness in the middle finger. It is typically due to foraminal narrowing at the C6–C7 level, and most cases improve with conservative therapy. Anatomy Neurology (Spinal cord disorders) None Subject System A 68-year-old man is brought to the emergency department by his wife due to confusion and difficulty attending to his surroundings. She reports that since waking up this morning, he has ignored food on the left side of his plate"
4,4.1,General,pattern_recognition,C,"Left occipital lobe Choice H: Located in the dominant posterior temporal lobe, this area governs language comprehension. Lesions result in fluent aphasia, not spatial neglect or visuospatial distortion."
5,5.1,General,pattern_recognition,C,"Collapse of intracerebral vessels from rising cranial pressure The Cushing reflex is the triad of hypertension, bradycardia, and irregular respirations. It results from compression of cerebral vessels and brainstem structures due to rising intracranial pressure."
6,8.1,General,pattern_recognition,B,Median nerve
7,9.1,General,pattern_recognition,D,Post-synaptic receptor upregulation Bottom line:
8,10.1,General,pattern_recognition,A,"Anterior horn cell This presentation is classic for Bell’s palsy, an acute peripheral facial nerve palsy causing weakness of both the upper and lower face with preserved sensation."
9,11.1,General,pattern_recognition,C,Lateral hypothalamus
10,12.1,General,pattern_recognition,B,Caudate nucleus Anatomy Neurology (Strokes & Stroke-related stuff) None
11,13.1,General,pattern_recognition,C,Multiple sclerosis
12,17.1,General,pattern_recognition,E,Pituitary adenoma Pathology Neurology (Headache) None Subject System Topic
13,18.1,General,pattern_recognition,E,Right optic nerve
14,19.1,General,pattern_recognition,E,"Strabismus the primary cause of ocular misalignment or diplopia; rather, it is a potential complication of untreated strabismus. Clinically, amblyopia presents as unilateral or bilateral decreased vision without a structural abnormality of the eye, and children typically do not have diplopia since the brain suppresses the weaker image. Treatment focuses on addressing the underlying cause (e.g., patching the dominant eye) to force use of the amblyopic eye and stimulate visual development. Choice B: Astigmatism is caused by an irregular curvature of the cornea or lens, resulting in distorted or blurred vision at all distances. The abnormal shape leads to light focusing at multiple points on the retina, compromising image clarity. This condition does not cause eye misalignment, diplopia, or abnormal cover-uncover test findings. Astigmatism commonly presents with visual blurring, headaches, and eyestrain, but does not produce diplopia or strabismus. It is corrected with cylindrical lenses that compensate for the irregular refractive power of the cornea or lens. Choice C: Hyperopia (farsightedness) occurs when the eyeball is too short anteroposteriorly or the cornea has insufficient curvature, causing light to focus behind the retina. Patients with hyperopia see distant objects more clearly than near objects, often leading to difficulty with close work. Children may compensate with increased accommodation, but this can cause eyestrain or headaches. Hyperopia does not cause ocular misalignment or diplopia, but uncorrected severe hyperopia can predispose to accommodative esotropia, a specific form of strabismus, which may overlap with this presentation but is not the general mechanism described here. Clinical presentation is typically blurry near vision, not double vision or shifting ocular fixation. Choice D: Myopia (nearsightedness) is due to an elongated eyeball or excessive corneal curvature, resulting in light focusing in front of the retina. This causes distant objects to appear blurry while near vision remains clear. Myopia does not cause strabismus or issues with binocular alignment, and patients do not exhibit abnormal findings on cover- uncover testing. Severe myopia increases the risk of retinal detachment due to elongation of the globe, but does not account for the described diplopia or misalignment. Clinical features center around blurry distance vision and frequent squinting, not double vision or depth perception loss. Bottom line: Strabismus is a disorder of ocular alignment that results in binocular vision loss, diplopia, and impaired depth perception, and can cause amblyopia if untreated. Differentiating strabismus from refractive errors like astigmatism, hyperopia, and myopia is critical, as only strabismus presents with eye misalignment and abnormal cover-uncover test. Pathology Neurology (Nerve injuries) None Subject System Topic"
15,20.1,General,pattern_recognition,E,Posterior communicating artery Anatomy Neurology (Strokes & Stroke-related stuff) None Subject System Topic
16,24.1,General,pattern_recognition,B,L3–L4
17,25.1,General,pattern_recognition,C,Anticoagulant therapy Amyloid angiopathy is a cause of hemorrhagic stroke in patients with Alzheimers.
18,26.1,General,pattern_recognition,C,"Idiopathic intracranial hypertension Choice A: Acetazolamide is a carbonic anhydrase inhibitor used to treat IIH by reducing CSF production. Its adverse effects include metabolic acidosis, hypokalemia, renal stones, and paresthesia, but it is not associated with causing increased intracranial pressure or the presenting syndrome. The patient is not taking this medication, nor is there"
19,27.1,General,pattern_recognition,D,D
20,28.1,General,pattern_recognition,D,Superficial peroneal (fibular) nerve
21,29.1,General,pattern_recognition,E,"Tension-type headache Temporal arteritis is a large-vessel vasculitis affecting older adults and should be suspected in any patient over 50 with new-onset headache, scalp tenderness, jaw claudication, and elevated ESR. Prompt corticosteroid therapy is critical to prevent irreversible vision loss due to ischemic optic neuropathy. Physiology Neurology (Headache) None Subject System Topic"
22,30.1,General,pattern_recognition,D,Pudendal
23,31.1,General,pattern_recognition,C,Lateral femoral cutaneous nerve Bottom line:
24,32.1,General,pattern_recognition,D,Right medial pons
25,33.1,General,pattern_recognition,A,Accessory nerve
26,35.1,General,pattern_recognition,D,Saphenous nerve
27,36.1,General,pattern_recognition,B,"Glossopharyngeal nerve his tongue motor function is intact, hypoglossal nerve injury is excluded in this case."
28,37.1,General,pattern_recognition,E,Serotonin Bottom line: Parkinson disease is caused by degeneration of dopaminergic neurons in the substantia nigra pars compacta. Anatomy Neurology (Neurodegenerative disorders and dementias) None Subject System Topic
29,38.1,General,pattern_recognition,A,Common peroneal (fibular) nerve
30,39.1,General,pattern_recognition,B,"Jaw opening strength Choice E: Tongue protrusion is mediated by the hypoglossal nerve (cranial nerve XII), which exits the skull via the hypoglossal canal. A lesion of CN XII produces tongue deviation toward the side of the lesion due to unopposed action of the contralateral genioglossus muscle. CN XII does not carry taste fibers nor does it innervate facial expression muscles. The absence of tongue deviation and preserved speech makes hypoglossal nerve injury unlikely. This patient’s deficits are best explained by facial nerve dysfunction, not hypoglossal involvement."
31,40.1,General,pattern_recognition,D,"Ischemic infarction of the anterior spinal artery Choice A: Cauda equina syndrome results from compression of the lumbosacral nerve roots below the level of the conus medullaris, typically below L2. It presents with gradual-onset symptoms, including asymmetric leg weakness, decreased reflexes, saddle anesthesia, and bladder dysfunction. Unlike conus medullaris syndrome, reflexes are"
32,41.1,General,pattern_recognition,D,Left posterior superior temporal gyrus
33,42.1,General,pattern_recognition,E,"Tibial nerve A 42-year-old man is brought to the emergency department by his spouse because of progressive weakness over the past 5 days. One week ago, he developed low- grade fever, abdominal cramps, and watery diarrhea that resolved spontaneously"
34,43.1,General,pattern_recognition,D,Disruption of synaptic vesicle docking at terminals gy system) e Subject System Topic
35,44.1,General,pattern_recognition,B,Degeneration of the substantia nigra
36,46.1,General,pattern_recognition,E,"Shoulder Dermatomal distribution. Wrong answer explanations: Choice A: Referred pain to the anterior thigh maps to L2–L4 dermatomes via the femoral nerve, classically seen with hip joint pathology (eg, osteoarthritis, femoral neck fracture), iliopsoas irritation, or L3 radiculopathy. Although proximal ureteral colic originates around T10–T12 and can cause flank/loin pain, it does not typically project to the true anterior thigh distribution of the femoral nerve. In ureteric stones, migration to the distal ureter shifts pain toward L1–L2 dermatomes, favoring the groin rather than the anterior thigh, making this choice incorrect in this clinical setting. Choice C: Medial thigh pain follows the obturator nerve (L2–L4), often implicated in obturator hernias, pelvic sidewall pathology, or hip osteoarthritis causing adductor spasm. This distribution is not the canonical referral pattern for ureteral colic, which tracks sympathetic afferents from T10–L2 and shifts flank → lower quadrant → groin as the stone descends. Because the obturator territory is not the typical target for distal ureteral pain, medial thigh radiation is not the best answer here. Choice D: The perineum is innervated predominantly by the pudendal nerve (S2–S4) and is a hallmark referral zone for anorectal disease, pelvic floor disorders, perineal abscess, and urogenital conditions centered in the distal urethra or external genitalia. Ureteral visceral afferents do not travel with sacral parasympathetics; instead they accompany sympathetic fibers to T10–L2, explaining why perineal radiation is not expected in ureteric stone pain. Given this distinct neuroanatomy, perineal localization is inconsistent with the scenario of migrating ureteral colic. Choice E: The shoulder is a common site of referred pain from diaphragmatic irritation via the phrenic nerve (C3–C5), seen in conditions such as subphrenic abscess, splenic rupture, or peritonitis involving the diaphragm. This dermatomal distribution is entirely unrelated to ureteral innervation, which travels via sympathetic fibers from T10–L2. Because the neuroanatomic pathways are completely different, shoulder radiation would not occur in ureteral colic, making this choice entirely incorrect for this patient’s presentation. Bottom line: Ureteral colic from nephrolithiasis produces severe, colicky flank pain that changes location as the stone migrates, reflecting the T10–L2 visceral afferent pathway. When the stone reaches the distal ureter, pain is referred to the groin via shared innervation with the genitofemoral nerve (L1–L2). Anatomy Neurology (Innervation of Other organ systems) None"
37,47.1,General,pattern_recognition,D,D Choice A = hippocampus; B = crus cerebri; C = ventral medial nucleus of thalamus; D = substantia nigra; E = subthalamic nucleus; F = ventral lateral nucleus of thalamus.
38,48.1,General,pattern_recognition,A,Left internal capsule
39,50.1,General,pattern_recognition,A,Crus cerebri
40,52.1,General,pattern_recognition,B,"L3 difficulties from S1 involvement typically manifest as trouble standing on tiptoes, not dragging the foot. The straight-leg test can be positive in S1 or L5 lesions, but the remaining findings clearly point to L5."
41,54.1,General,pattern_recognition,E,"Retinal detachment Idiopathic intracranial hypertension should be suspected in young obese women who present with headache, papilledema, and transient visual symptoms, especially when neuroimaging is normal. Pathology Neurology (Headache) None Subject System Topic"
42,58.1,General,pattern_recognition,E,Lesion of the trigeminal nerve other cranial nerves. Anatomy Neurology (Nerve injuries) None Subject System Topic
43,59.1,General,pattern_recognition,B,Inferior rectus
44,60.1,General,pattern_recognition,C,"Dorsal motor nucleus of the vagus The area postrema, located on the dorsal medulla at the caudal fourth ventricle, is the chemoreceptor trigger zone for vomiting. It lacks a typical blood-brain barrier and detects circulating toxins to initiate the emetic reflex. Lesions to this region abolish vomiting responses without affecting other parasympathetic outputs."
45,61.1,General,pattern_recognition,C,T4
46,62.1,General,pattern_recognition,D,Radial nerve compression in the axilla
47,65.1,General,pattern_recognition,B,Axillary nerve
48,66.1,General,pattern_recognition,A,"A deficit involves shoulder abduction, which the ulnar nerve does not control. Label E, identifying the ulnar nerve, is anatomically correct but irrelevant to the symptoms described."
49,67.1,General,pattern_recognition,C,"Lateral femoral cutaneous nerve Choice E: The tibial nerve innervates the posterior compartment, responsible for plantarflexion and inversion. A tibial nerve injury would lead to difficulty pushing off with the foot or standing on the toes, neither of which are reported. Additionally, this nerve does not innervate the dorsiflexors or evertors of the foot. Since the patient’s plantarflexion is"
50,68.1,General,pattern_recognition,A,"Dorsal primary ramus well-localized, characteristic of somatic afferents, not vagus-mediated visceral pain. Furthermore, a superficial anesthetic injection at the rib level would not impact vagus nerve function, which lies deeper and medially in the thorax. Since the vagus does not mediate somatic thoracic wall pain, this nerve is not the correct answer."
51,69.1,General,pattern_recognition,B,"Elevated anti-acetylcholine receptor antibodies intrathecal IgG synthesis. These findings are not present in GBS, which is a peripheral demyelinating condition and instead shows albuminocytologic dissociation."
52,70.1,General,pattern_recognition,E,Physiologic tremor Physiology Neurology (Disorders of peripheral nerves and muscles) None Subject System Topic
53,71.1,General,pattern_recognition,A,Femoral nerve
54,74.1,General,pattern_recognition,C,"Lesion of the left abducens nerve (CN VI) MLF syndrome is pathognonomic for multiple sclerosis (MS) on USMLE. It will usually be a woman 20s-30s with these eye findings, or MS can present with optic neuritis, which is impaired color vision, impaired visual acuity, or even central scotomas (blind spots). D. Lesion of the left oculomotor nerve (CN III) E. Uncal herniation with compression of CN III Wrong answer explanations: Choice B: While this answer describes a plausible mechanism—MLF demyelination—it is incorrect due to lateralization. The patient’s left eye fails to adduct when she looks to the right, which indicates a left-sided MLF lesion. A lesion in the right MLF would impair adduction of the right eye during leftward gaze—a mirror- image presentation. This is a common distractor on exams because students may overlook the importance of gaze direction. Always match the direction of gaze and the affected eye to localize the lesion accurately. Choice C: A lesion of the left CN VI would impair abduction of the left eye, not adduction, and would cause horizontal diplopia when looking to the left. In this vignette, the left eye fails to adduct during rightward gaze, making this diagnosis anatomically incompatible. Furthermore, there would be no nystagmus in the contralateral eye with a CN VI lesion. The patient also lacks other signs of a full horizontal gaze palsy. In cavernous sinus thrombosis, CN VI is often the first and most commonly affected due to its central location within the sinus. It is the most medial nerve in the cavernous sinus, making it vulnerable to compression or inflammation. USMLE likes that. Choice D: A CN III lesion would cause ptosis, pupil dilation, and impaired adduction, elevation, and depression of the eye, often resulting in a “down and out” appearance. None of these signs are present. Convergence is also preserved in this case, which would not be possible with a CN III palsy affecting the medial rectus. The deficit described is specific to horizontal gaze adduction, not global oculomotor dysfunction. Choice E: Uncal herniation occurs when the medial temporal lobe (uncus) is displaced downward through the tentorial notch due to increased intracranial pressure. This compresses the ipsilateral CN III, leading to a dilated pupil, ptosis, and eye positioned ""down and out"" due to unopposed action of the lateral rectus and superior oblique muscles. Early pupillary dilation is a HY finding on USMLE and indicates brainstem compression. High Yield USMLE Audio Answer: Cut to the chase Audio Answer: Bottom line: MLF syndrome (aka INO) is pathognomonic for MS on USMLE. The patient won't be able to adduct with the ipsilateral eye when abducting the contralateral eye. Convergence is intact, since CN III is intact. Pathology Neurology (Demyelinating diseases) None"
55,75.1,General,pattern_recognition,A,"Axillary nerve typically results in wrist drop, finger extension weakness, and sensory deficits over the posterior forearm and hand. While the radial nerve contributes to supination, it does so via the supinator muscle; full supination also requires the biceps, which is innervated by the musculocutaneous nerve. The absence of wrist drop and the presence of lateral forearm sensory loss in this patient make radial nerve injury unlikely."
56,76.1,General,pattern_recognition,B,"deformity, finger weakness, or medial hand numbness. The described lateral forearm sensory loss is not in the ulnar nerve distribution. Although label E correctly identifies the ulnar nerve, it is not implicated here. B"
57,77.1,General,pattern_recognition,E,Weakness in forearm pronation
58,78.1,General,pattern_recognition,B,Left middle cerebral artery
59,79.1,General,pattern_recognition,D,Right biceps Cut to the chase Audio Answer:
60,81.1,General,pattern_recognition,F,Posterior superior temporal gyrus
61,82.1,General,pattern_recognition,D,"D infarcts can impair consciousness depending on their extent. Hypertensive small vessel disease is a major cause of lacunar infarcts affecting the thalamus, leading to characteristic pure sensory strokes. The vascular supply comes mainly from penetrating branches of the posterior cerebral artery. Damage here would result in deficits distinct from"
62,83.1,General,pattern_recognition,B,Cryptococcal meningoencephalitis
63,84.1,General,pattern_recognition,E,Medulloblastoma
64,85.1,General,pattern_recognition,B,"B Pure motor stroke = contralateral face, arm, leg weakness → posterior limb of internal capsule → lacunar infarct (lenticulostriate vessels) in chronic hypertension."
65,87.1,General,pattern_recognition,E,"Chronic hypertension Subarachnoid hemorrhage. Bottom line: Subdural hematoma is commonly due to rupture of bridging veins, particularly in elderly patients with cerebral atrophy. Risk factors like alcoholism, deceleration events (car accidents / falls), and dementia are HY for USMLE. In pediatrics, shaken baby syndrome is also an important cause. Pathophysiology Neurology (Traumatic brain injuries) None Subject System Topic"
66,89.1,General,pattern_recognition,E,E Anatomy Neurology (Strokes & Stroke-related stuff) None Subject System Topic
67,92.1,General,pattern_recognition,C,Migraine without aura Bottom line:
68,93.1,General,pattern_recognition,D,Propranolol Bottom line:
69,94.1,General,pattern_recognition,B,Arnold-Chiari I malformation Wrong answer explanations:
70,95.1,General,pattern_recognition,D,Sciatic nerve
71,96.1,General,pattern_recognition,D,Impaired cerebrospinal fluid absorption
72,97.1,General,pattern_recognition,D,T-cell-mediated attack on oligodendrocytes
73,98.1,General,pattern_recognition,E,"Thoracodorsal nerve against the thoracic wall. Choice E: The thoracodorsal nerve arises from the posterior cord and innervates the latissimus dorsi muscle, a large muscle involved in arm extension, adduction, and internal rotation. This nerve can indeed be injured during axillary lymph node dissection, as it travels in the axillary region. However, thoracodorsal nerve damage results in weakness with activities like climbing or swimming, not scapular winging. The latissimus dorsi does not stabilize the scapula against the thoracic wall; that role belongs to the serratus anterior. Additionally, this patient has no difficulty with powerful upper limb movements, but instead shows a prominent medial border of the scapula, indicating a serratus anterior issue. Bottom line: The long thoracic nerve innervates the serratus anterior and stabilizes the scapula. Injury leads to scapular winging, especially when pushing against resistance. Surgical trauma, particularly during mastectomy or axillary dissection, is a common cause. Anatomy Neurology (Disorders of peripheral nerves and muscles) None"
74,101.1,General,pattern_recognition,B,B Bottom line:
75,102.1,General,pattern_recognition,D,Loss of taste sensation on the posterior third of the tongue
76,103.1,General,pattern_recognition,B,T4
77,104.1,General,pattern_recognition,B,"Basis pontis Central pontine myelinolysis from rapid sodium correction damages the basis pontis, leading to locked-in syndrome with preserved consciousness and vertical eye movement but complete motor paralysis."
78,105.1,General,pattern_recognition,E,"Right medial medulla Wrong answer explanations: Choice A: lateral medulla gives cranial nerve IX/X findings (hoarseness, dysphagia), not tongue deviation. Choice C: pons lesions usually affect cranial nerve VI (abducens palsy) or VII (facial droop), not tongue deviation or limb weakness. Choice D: lateral medulla gives hoarseness, dysphagia, and Horner syndrome — not tongue deviation or full body weakness. Choice E: medial medulla would fit, but the lesion is on the left, not the right, because the tongue points to the left. Bottom line: Tongue deviation and body weakness = medial medulla on the same side as the tongue points. Think ASA. Anatomy Neurology (Strokes & Stroke-related stuff) None"
79,106.1,General,pattern_recognition,H,
